subjectNumber,AGE,TRAIT_DOM,HEIGHT,WEIGHT,BODY_FAT,GRIP_STRENGTH,CHEST_STRENGTH,DOM_IPIP,FACECON,DOM_RATING,MEM,Face_Data_Set,Morph_type,CON_1,CON_2
23,20,20,179,68.04,11,91,78.5,44,2,3.2,.6,1,2,6.83,8.44
23,20,20,179,68.04,11,91,78.5,44,3,3.2,.8,2,1,8.13,8.75
23,20,20,179,68.04,11,91,78.5,44,4,4.4,.6,2,2,8.17,8.5
24,22,14,172,55.79,10.55,75,61.5,30,1,3.3,.8,1,1,4.5,4.2
24,22,14,172,55.79,10.55,75,61.5,30,2,3.9,.8,1,2,3.63,4
24,22,14,172,55.79,10.55,75,61.5,30,3,3.4,.5,2,1,3.8,4.2
24,22,14,172,55.79,10.55,75,61.5,30,4,3,.6,2,2,4.33,3.8
25,20,16,171,60.51,9.25,73.5,60,40,1,2.3,.6,1,1,7.33,6.7
25,20,16,171,60.51,9.25,73.5,60,40,2,4.1,.6,1,2,3.33,4.2
25,20,16,171,60.51,9.25,73.5,60,40,3,4.2,.7,2,1,5.29,4.8
25,20,16,171,60.51,9.25,73.5,60,40,4,4.6,.3,2,2,7.67,5.4
26,22,17,172.5,65.73,14.1,95,65,24,1,3.3,.8,1,1,3.75,5.25
26,22,17,172.5,65.73,14.1,95,65,24,2,4,.7,1,2,5.29,5.4
26,22,17,172.5,65.73,14.1,95,65,24,3,3.3,.7,2,1,5.29,5.2
26,22,17,172.5,65.73,14.1,95,65,24,4,3.4,.6,2,2,5.17,5.1
27,19,10,166.05,66.77,13.45,96,85,30,1,3.8,.5,1,1,4.4,4.4
27,19,10,166.05,66.77,13.45,96,85,30,2,4.7,.3,1,2,6,5.6
27,19,10,166.05,66.77,13.45,96,85,30,3,3.4,.7,2,1,4.57,4.4
27,19,10,166.05,66.77,13.45,96,85,30,4,3.5,.5,2,2,3.2,4.44
28,20,14,168.75,55.61,8.1,65,58.75,31,1,3.6,.4,1,1,6.75,4.9
28,20,14,168.75,55.61,8.1,65,58.75,31,2,4.3,.6,1,2,6,5.8
28,20,14,168.75,55.61,8.1,65,58.75,31,3,3.4,.4,2,1,5,5.56
28,20,14,168.75,55.61,8.1,65,58.75,31,4,4.9,.5,2,2,4,3.9
29,19,16,171.5,87,27.05,96,82.25,29,1,3,.6,1,1,7,7.8
29,19,16,171.5,87,27.05,96,82.25,29,2,3.5,.6,1,2,7.67,7.8
29,19,16,171.5,87,27.05,96,82.25,29,3,1.8,.6,2,1,8.67,8.2
29,19,16,171.5,87,27.05,96,82.25,29,4,2.9,.4,2,2,10,9.2
30,18,15,172.1,57.18,7.95,52.5,52.5,31,1,3,.8,1,1,5.5,5.1
30,18,15,172.1,57.18,7.95,52.5,52.5,31,2,3.1,.6,1,2,5.33,5.6
30,18,15,172.1,57.18,7.95,52.5,52.5,31,3,3.1,.6,2,1,5.17,5.1
30,18,15,172.1,57.18,7.95,52.5,52.5,31,4,3.2,.4,2,2,5.75,5.3
31,18,6,178.5,82.96,18.9,117.5,67.5,25,1,4.4,.4,1,1,5,5.5
31,18,6,178.5,82.96,18.9,117.5,67.5,25,2,3.5,.8,1,2,5,5.5
31,18,6,178.5,82.96,18.9,117.5,67.5,25,3,3.9,.5,2,1,5.8,6.4
31,18,6,178.5,82.96,18.9,117.5,67.5,25,4,3.8,.6,2,2,7.17,6
32,18,18,186.85,91.35,17.95,72.5,50,43,1,4.6,.2,1,1,4.5,4.7
32,18,18,186.85,91.35,17.95,72.5,50,43,2,5,.4,1,2,6,4.7
32,18,18,186.85,91.35,17.95,72.5,50,43,3,3,.5,2,1,8.4,7.4
32,18,18,186.85,91.35,17.95,72.5,50,43,4,3.6,.5,2,2,7.8,6.7
33,26,7,170.9,74.62,18.3,75,54,23,1,3.8,.2,1,1,5,4.56
33,26,7,170.9,74.62,18.3,75,54,23,2,3.9,.7,1,2,2.86,3.43
33,26,7,170.9,74.62,18.3,75,54,23,3,3.2,.6,2,1,4.83,4.7
33,26,7,170.9,74.62,18.3,75,54,23,4,3.5,.6,2,2,4.33,4
34,21,19,194.75,82.83,11.35,100,67.5,36,1,4.6,.7,1,1,6.86,6.7
34,21,19,194.75,82.83,11.35,100,67.5,36,2,6.1,.7,1,2,6.57,6.6
34,21,19,194.75,82.83,11.35,100,67.5,36,3,3.1,.5,2,1,7.8,7.4
34,21,19,194.75,82.83,11.35,100,67.5,36,4,5.5,.6,2,2,6.33,6.9
35,19,17,179.95,81.56,16.8,110,145,36,1,3.5,.5,1,1,5.6,4.9
35,19,17,179.95,81.56,16.8,110,145,36,2,4.4,.6,1,2,4.83,4.7
35,19,17,179.95,81.56,16.8,110,145,36,3,2.8,.5,2,1,4.8,4.3
35,19,17,179.95,81.56,16.8,110,145,36,4,4.7,.6,2,2,4.17,4.1
36,19,20,174.25,74.03,18.15,72.5,43.75,30,1,3.8,.7,1,1,6.14,5.8
36,19,20,174.25,74.03,18.15,72.5,43.75,30,2,4,.5,1,2,5.6,5.8
36,19,20,174.25,74.03,18.15,72.5,43.75,30,3,3,.6,2,1,6.33,5.9
36,19,20,174.25,74.03,18.15,72.5,43.75,30,4,3.5,.8,2,2,5.25,6.44
37,24,10,166.5,74.84,20.3,72.5,46.5,24,1,3.2,.6,1,1,5.33,5.63
37,24,10,166.5,74.84,20.3,72.5,46.5,24,2,3.1,.6,1,2,2.83,5.6
37,24,10,166.5,74.84,20.3,72.5,46.5,24,3,4.3,.4,2,1,5.5,4.7
37,24,10,166.5,74.84,20.3,72.5,46.5,24,4,4,.8,2,2,4.25,5.11
