ID,Face_Morph,Face_Set,Face_Set_Type,Resoponse_Type,Frequency
8,1,1,2,4,4
8,2,1,2,1,3
8,2,1,2,2,0
8,2,1,2,3,2
8,2,1,3,4,5
8,1,2,3,1,4
8,1,2,3,2,3
8,1,2,3,3,1
8,1,2,4,4,1
8,2,2,4,1,2
8,2,2,4,2,4
8,2,2,4,3,3
9,1,1,1,1,3
9,1,1,1,2,4
9,1,1,1,3,1
9,2,2,1,4,2
9,1,1,2,4,1
9,2,1,2,1,4
9,2,1,2,2,3
9,2,1,2,3,2
9,2,1,3,4,2
9,1,2,3,1,5
9,1,2,3,2,2
9,1,2,3,3,0
9,1,2,4,4,3
9,2,2,4,1,4
9,2,2,4,2,3
9,2,2,4,3,1
10,1,1,1,1,3
10,1,1,1,2,3
10,1,1,1,3,2
10,2,2,1,4,3
10,1,1,2,4,2
10,2,1,2,1,2
10,2,1,2,2,2
10,2,1,2,3,3
10,2,1,3,4,3
10,1,2,3,1,3
10,1,2,3,2,4
10,1,2,3,3,3
10,1,2,4,4,0
10,2,2,4,1,1
10,2,2,4,2,3
10,2,2,4,3,3
11,1,1,1,1,4
11,1,1,1,2,5
11,1,1,1,3,1
11,2,2,1,4,6
11,1,1,2,4,0
11,2,1,2,1,2
11,2,1,2,2,2
11,2,1,2,3,3
11,2,1,3,4,3
11,1,2,3,1,2
11,1,2,3,2,4
11,1,2,3,3,3
11,1,2,4,4,0
11,2,2,4,1,3
11,2,2,4,2,0
11,2,2,4,3,2
12,1,1,1,1,3
12,1,1,1,2,3
12,1,1,1,3,1
12,2,2,1,4,2
12,1,1,2,4,2
12,2,1,2,1,3
12,2,1,2,2,2
12,2,1,2,3,3
12,2,1,3,4,3
12,1,2,3,1,3
12,1,2,3,2,3
12,1,2,3,3,2
12,1,2,4,4,2
12,2,2,4,1,2
12,2,2,4,2,3
12,2,2,4,3,3
14,1,1,1,1,3
14,1,1,1,2,1
14,1,1,1,3,2
14,2,2,1,4,1
14,1,1,2,4,3
14,2,1,2,1,4
14,2,1,2,2,2
14,2,1,2,3,1
14,2,1,3,4,4
14,1,2,3,1,3
14,1,2,3,2,3
14,1,2,3,3,2
14,1,2,4,4,2
14,2,2,4,1,3
14,2,2,4,2,4
14,2,2,4,3,2
16,1,1,1,1,3
16,1,1,1,2,3
16,1,1,1,3,1
16,2,2,1,4,2
16,1,1,2,4,3
16,2,1,2,1,4
16,2,1,2,2,4
16,2,1,2,3,2
16,2,1,3,4,0
16,1,2,3,1,4
16,1,2,3,2,3
16,1,2,3,3,2
16,1,2,4,4,1
16,2,2,4,1,2
16,2,2,4,2,4
16,2,2,4,3,2
17,1,1,1,1,2
17,1,1,1,2,5
17,1,1,1,3,3
17,2,2,1,4,0
17,1,1,2,4,0
17,2,1,2,1,5
17,2,1,2,2,1
17,2,1,2,3,0
17,2,1,3,4,4
17,1,2,3,1,2
17,1,2,3,2,6
17,1,2,3,3,3
17,1,2,4,4,0
17,2,2,4,1,4
17,2,2,4,2,4
17,2,2,4,3,1
18,1,1,1,1,3
18,1,1,1,2,2
18,1,1,1,3,2
18,2,2,1,4,3
18,1,1,2,4,2
18,2,1,2,1,4
18,2,1,2,2,4
18,2,1,2,3,1
18,2,1,3,4,2
18,1,2,3,1,1
18,1,2,3,2,5
18,1,2,3,3,3
18,1,2,4,4,0
18,2,2,4,1,4
18,2,2,4,2,2
18,2,2,4,3,2
19,1,1,1,1,4
19,1,1,1,2,2
19,1,1,1,3,1
19,2,2,1,4,0
19,1,1,2,4,3
19,2,1,2,1,3
19,2,1,2,2,2
19,2,1,2,3,2
19,2,1,3,4,3
19,1,2,3,1,1
19,1,2,3,2,5
19,1,2,3,3,4
19,1,2,4,4,0
19,2,2,4,1,2
19,2,2,4,2,5
19,2,2,4,3,3
20,1,1,1,1,3
20,1,1,1,2,1
20,1,1,1,3,2
20,2,2,1,4,0
20,1,1,2,4,4
20,2,1,2,1,4
20,2,1,2,2,4
20,2,1,2,3,1
20,2,1,3,4,1
20,1,2,3,1,3
20,1,2,3,2,2
20,1,2,3,3,2
20,1,2,4,4,3
20,2,2,4,1,2
20,2,2,4,2,5
20,2,2,4,3,3
21,1,1,1,1,3
21,1,1,1,2,3
21,1,1,1,3,2
21,2,2,1,4,2
21,1,1,2,4,3
21,2,1,2,1,3
21,2,1,2,2,1
21,2,1,2,3,2
21,2,1,3,4,3
21,1,2,3,1,4
21,1,2,3,2,2
21,1,2,3,3,1
21,1,2,4,4,3
21,2,2,4,1,1
21,2,2,4,2,3
21,2,2,4,3,4
22,1,1,1,1,3
22,1,1,1,2,3
22,1,1,1,3,3
22,2,2,1,4,1
22,1,1,2,4,2
22,2,1,2,1,2
22,2,1,2,2,2
22,2,1,2,3,2
22,2,1,3,4,3
22,1,2,3,1,3
22,1,2,3,2,2
22,1,2,3,3,2
22,1,2,4,4,3
22,2,2,4,1,2
22,2,2,4,2,4
22,2,2,4,3,3
23,1,1,1,1,3
23,1,1,1,2,5
23,1,1,1,3,1
23,2,2,1,4,0
23,1,1,2,4,0
23,2,1,2,1,3
23,2,1,2,2,3
23,2,1,2,3,3
23,2,1,3,4,2
23,1,2,3,1,3
23,1,2,3,2,4
23,1,2,3,3,3
23,1,2,4,4,2
23,2,2,4,1,2
23,2,2,4,2,4
23,2,2,4,3,2
24,1,1,1,1,3
24,1,1,1,2,2
24,1,1,1,3,2
24,2,2,1,4,3
24,1,1,2,4,3
24,2,1,2,1,5
24,2,1,2,2,4
24,2,1,2,3,0
24,2,1,3,4,1
24,1,2,3,1,3
24,1,2,3,2,4
24,1,2,3,3,2
24,1,2,4,4,1
24,2,2,4,1,4
24,2,2,4,2,2
24,2,2,4,3,1
25,1,1,1,1,1
25,1,1,1,2,2
25,1,1,1,3,5
25,2,2,1,4,2
25,1,1,2,4,2
25,2,1,2,1,3
25,2,1,2,2,2
25,2,1,2,3,1
25,2,1,3,4,4
25,1,2,3,1,1
25,1,2,3,2,6
25,1,2,3,3,3
25,1,2,4,4,0
25,2,2,4,1,5
25,2,2,4,2,2
25,2,2,4,3,1
26,1,1,1,1,5
26,1,1,1,2,2
26,1,1,1,3,0
26,2,2,1,4,1
26,1,1,2,4,2
26,2,1,2,1,4
26,2,1,2,2,3
26,2,1,2,3,1
26,2,1,3,4,3
26,1,2,3,1,4
26,1,2,3,2,3
26,1,2,3,3,1
26,1,2,4,4,2
26,2,2,4,1,3
26,2,2,4,2,4
26,2,2,4,3,2
27,1,1,1,1,1
27,1,1,1,2,4
27,1,1,1,3,3
27,2,2,1,4,1
27,1,1,2,4,1
27,2,1,2,1,2
27,2,1,2,2,3
27,2,1,2,3,4
27,2,1,3,4,2
27,1,2,3,1,1
27,1,2,3,2,3
27,1,2,3,3,4
27,1,2,4,4,2
27,2,2,4,1,2
27,2,2,4,2,4
27,2,2,4,3,3
28,1,1,1,1,2
28,1,1,1,2,2
28,1,1,1,3,2
28,2,2,1,4,3
28,1,1,2,4,3
28,2,1,2,1,5
28,2,1,2,2,1
28,2,1,2,3,1
28,2,1,3,4,4
28,1,2,3,1,1
28,1,2,3,2,4
28,1,2,3,3,4
28,1,2,4,4,1
28,2,2,4,1,2
28,2,2,4,2,2
28,2,2,4,3,3
29,1,1,1,1,3
29,1,1,1,2,3
29,1,1,1,3,2
29,2,2,1,4,0
29,1,1,2,4,3
29,2,1,2,1,3
29,2,1,2,2,1
29,2,1,2,3,2
29,2,1,3,4,3
29,1,2,3,1,1
29,1,2,3,2,3
29,1,2,3,3,4
29,1,2,4,4,2
29,2,2,4,1,3
29,2,2,4,2,5
29,2,2,4,3,2
30,1,1,1,1,2
30,1,1,1,2,2
30,1,1,1,3,3
30,2,2,1,4,1
30,1,1,2,4,3
30,2,1,2,1,4
30,2,1,2,2,3
30,2,1,2,3,1
30,2,1,3,4,2
30,1,2,3,1,3
30,1,2,3,2,3
30,1,2,3,3,2
30,1,2,4,4,1
30,2,2,4,1,2
30,2,2,4,2,5
