subjectNumber,Condition,AGE,TRAIT_DOM,HEIGHT,WEIGHT,BODY_FAT,GRIP_STRENGTH,CHEST_STRENGTH,DOM_IPIP,FACECON,Face_Data_Set,Morph_type,DOM_RATING,MEM,COM
530,2,19,18,178,114.818181818182,33.1,92.5,75,34,4,2,2,3.3,.5,4.4
531,2,22,13,177.5,62.2272727272727,10.05,85,67.5,33,1,1,1,4.2,.7,4.43
531,2,22,13,177.5,62.2272727272727,10.05,85,67.5,33,2,1,2,5.2,.5,6.2
531,2,22,13,177.5,62.2272727272727,10.05,85,67.5,33,3,2,1,4,.7,5.86
531,2,22,13,177.5,62.2272727272727,10.05,85,67.5,33,4,2,2,5.2,.7,8.71
532,2,18,17,176.25,60.7727272727273,7.25,82.5,60,48,1,1,1,4.3,.7,3.43
532,2,18,17,176.25,60.7727272727273,7.25,82.5,60,48,2,1,2,5.4,.8,4
532,2,18,17,176.25,60.7727272727273,7.25,82.5,60,48,3,2,1,4.4,.1,3
532,2,18,17,176.25,60.7727272727273,7.25,82.5,60,48,4,2,2,4.9,.7,2.43
533,2,27,20,175.95,74.9090909090909,15.6,120,140,41,1,1,1,4.5,.7,3.57
533,2,27,20,175.95,74.9090909090909,15.6,120,140,41,2,1,2,4.9,.8,3.5
533,2,27,20,175.95,74.9090909090909,15.6,120,140,41,3,2,1,4,.4,3
533,2,27,20,175.95,74.9090909090909,15.6,120,140,41,4,2,2,4.5,.6,3.67
534,2,24,11,179,76.1363636363636,15.55,95,60,29,1,1,1,4.1,.4,4.25
534,2,24,11,179,76.1363636363636,15.55,95,60,29,2,1,2,2.9,.6,5.67
534,2,24,11,179,76.1363636363636,15.55,95,60,29,3,2,1,3,.7,4.71
534,2,24,11,179,76.1363636363636,15.55,95,60,29,4,2,2,3.1,.6,5
