subjectNumber,Condition,AGE,TRAIT_DOM,HEIGHT,WEIGHT,BODY_FAT,GRIP_STRENGTH,CHEST_STRENGTH,DOM_IPIP,FACECON,Face_Data_Set,Morph_type,DOM_RATING,MEM,COM
24,1,22,14,172,55.79,10.55,75,61.5,30,2,1,2,3.9,.8,3.63
24,1,22,14,172,55.79,10.55,75,61.5,30,3,2,1,3.4,.5,3.8
24,1,22,14,172,55.79,10.55,75,61.5,30,4,2,2,3,.6,4.33
25,1,20,16,171,60.51,9.25,73.5,60,40,1,1,1,2.3,.6,7.33
25,1,20,16,171,60.51,9.25,73.5,60,40,2,1,2,4.1,.6,3.33
25,1,20,16,171,60.51,9.25,73.5,60,40,3,2,1,4.2,.7,5.29
25,1,20,16,171,60.51,9.25,73.5,60,40,4,2,2,4.6,.3,7.67
26,1,22,17,172.5,65.73,14.1,95,65,24,1,1,1,3.3,.8,3.75
26,1,22,17,172.5,65.73,14.1,95,65,24,2,1,2,4,.7,5.29
26,1,22,17,172.5,65.73,14.1,95,65,24,3,2,1,3.3,.7,5.29
26,1,22,17,172.5,65.73,14.1,95,65,24,4,2,2,3.4,.6,5.17
27,1,19,10,166.05,66.77,13.45,96,85,30,1,1,1,3.8,.5,4.4
27,1,19,10,166.05,66.77,13.45,96,85,30,2,1,2,4.7,.3,6
27,1,19,10,166.05,66.77,13.45,96,85,30,3,2,1,3.4,.7,4.57
27,1,19,10,166.05,66.77,13.45,96,85,30,4,2,2,3.5,.5,3.2
28,1,20,14,168.75,55.61,8.1,65,58.75,31,1,1,1,3.6,.4,6.75
28,1,20,14,168.75,55.61,8.1,65,58.75,31,2,1,2,4.3,.6,6
28,1,20,14,168.75,55.61,8.1,65,58.75,31,3,2,1,3.4,.4,5
28,1,20,14,168.75,55.61,8.1,65,58.75,31,4,2,2,4.9,.5,4
29,1,19,16,171.5,87,27.05,96,82.25,29,1,1,1,3,.6,7
29,1,19,16,171.5,87,27.05,96,82.25,29,2,1,2,3.5,.6,7.67
29,1,19,16,171.5,87,27.05,96,82.25,29,3,2,1,1.8,.6,8.67
29,1,19,16,171.5,87,27.05,96,82.25,29,4,2,2,2.9,.4,10
30,1,18,15,172.1,57.18,7.95,52.5,52.5,31,1,1,1,3,.8,5.5
30,1,18,15,172.1,57.18,7.95,52.5,52.5,31,2,1,2,3.1,.6,5.33
30,1,18,15,172.1,57.18,7.95,52.5,52.5,31,3,2,1,3.1,.6,5.17
30,1,18,15,172.1,57.18,7.95,52.5,52.5,31,4,2,2,3.2,.4,5.75
31,1,18,6,178.5,82.96,18.9,117.5,67.5,25,1,1,1,4.4,.4,5
31,1,18,6,178.5,82.96,18.9,117.5,67.5,25,2,1,2,3.5,.8,5
31,1,18,6,178.5,82.96,18.9,117.5,67.5,25,3,2,1,3.9,.5,5.8
31,1,18,6,178.5,82.96,18.9,117.5,67.5,25,4,2,2,3.8,.6,7.17
32,1,18,18,186.85,91.35,17.95,72.5,50,43,1,1,1,4.6,.2,4.5
32,1,18,18,186.85,91.35,17.95,72.5,50,43,2,1,2,5,.4,6
32,1,18,18,186.85,91.35,17.95,72.5,50,43,3,2,1,3,.5,8.4
32,1,18,18,186.85,91.35,17.95,72.5,50,43,4,2,2,3.6,.5,7.8
33,1,26,7,170.9,74.62,18.3,75,54,23,1,1,1,3.8,.2,5
33,1,26,7,170.9,74.62,18.3,75,54,23,2,1,2,3.9,.7,2.86
33,1,26,7,170.9,74.62,18.3,75,54,23,3,2,1,3.2,.6,4.83
33,1,26,7,170.9,74.62,18.3,75,54,23,4,2,2,3.5,.6,4.33
34,1,21,19,194.75,82.83,11.35,100,67.5,36,1,1,1,4.6,.7,6.86
